,Hydropower Plant,Status,LAT N,LON E,State/Region,District,Township,Village,Basin,Sub-Basin (HP Chapter),Sub-Basin (GIS Maps),River/ Watershed,Developer,Country,Investment by,Installed Capacity (MW),Myanmar Selfuse (MW),Export (MW),Export to,Estimated No. Construction Workers (planned projects),Year_Simplified
11,Dapein 2,MOU,24.36827,97.4214,Kachin,Bhamo,Moemauk,,Ayeyarwady,Dapein,Dapein,Dapein,DUHD,PRC,Foreign JV/BOT,140.0,70.0,70.0,,600.0,2022.0
12,Deedoke,MOU,21.68723,96.404455,Mandalay,Pyinoolwin,Kyaukse,Hngel Kyi Thaik,Ayeyarwady,Myitnge,Lower Myitnge,Lower Myitnge,Andritz Hydro,Austria,Foreign JV/BOT,60.0,66.0,-6.000000000000005,,200.0,2020.0
13,Dum Ban,MOU,25.511556,97.907021,Kachin,Myitkyina,Wyunmaw,Sadon,Ayeyarwady,Ayeyarwady Headwaters,Nmae Hka,N'Mai  Hka Tributary,YBEP/Chan Yinn Khuu,PRC/MYA,Foreign JV/BOT,130.0,130.0,0.0,,500.0,2020.0
14,Gaw Lan,JVA,26.051936,98.580461,Kachin,Myitkyina,Chipwi,,Ayeyarwady,Ayeyarwady Headwaters,Naw Chang  Hka,Naw Chang  Hka,YEIG/IGOEC,PRC/MYA,Foreign JV/BOT,120.0,60.0,60.0,,500.0,2026.0
15,Hawkham (upper) ,MOU,19.211666666666666,97.39972222222222,Kayah,Bawlakhe,,,Thanlwin,Nam Pawn,Nam Pawn,Nam Pawn,TEI/HCTC,SIN/MYA,Foreign JV/BOT,180.0,,,,700.0,2020.0
16,He Kou,MOU,21.341291,100.720928,Shan,He Kou,,,Mekong,Nam Lwe,Nam Lwe,Nam Lwe,YNIC,PRC,Foreign JV/BOT,138.0,69.0,69.0,<-PRC?,600.0,2025.0
17,Hkankawn,MOA,26.023865,98.429523,Kachin,Myitkyina,Tsawlaw,Tsawlaw,Ayeyarwady,Ayeyarwady Headwaters,Naw Chang  Hka,Naw Chang  Hka,YEIG/IGOEC,PRC/MYA,Foreign JV/BOT,140.0,70.0,70.0,<-PRC?,600.0,2026.0
18,Pisa,MOA,26.598389,98.34309,Kachin,Putau,Kanglanphu,,Ayeyarwady,Ayeyarwady Headwaters,Nmae Hka,N'Mai  Hka,CPI,PRC,Foreign JV/BOT,2000.0,,,<-PRC?,7100.0,2030.0
19,Tamanthi ,Suspended,25.322227,95.2969549999999,Sagaing,Hkamti,Htamanthi,Homemalin,Chindwin,Chindwin,Upper Chindwin,Chindwin,NHPC,India,Foreign JV/BOT,1200.0,,,India,4600.0,
20,Hutgyi,MOA,17.5279999999999,97.747,Kayin,Hpapun,Kamamung,,Thanlwin,Thanlwin Mainstem,Lower Thanlwin,Thanlwin Mainstem,Sinohydro+EGATi+IGOEC,PRC/THA/MYA,Foreign JV/BOT,1360.0,136.0,1224.0,Thailand,5100.0,2020.0
21,Kabaung,Built,18.8967169999999,96.220825,Bago,Taungoo,Oak Twin,,Sittaung,Other Sittaung,Other Sittaung,Kabaung Chaung,MoEE/MOALI,Myanmar,Sole Investment ,30.0,30.0,0.0,,,2008.0
22,Keng Tawng,Built,20.598345,98.29305,Shan,Linkhe,Moenane,,Thanlwin,Nam Teng,Nam Teng,Nam Teng,MoEE,Myanmar,Sole Investment,54.0,54.0,0.0,,,2009.0
23,Keng Tawng (upper),Construction,20.74558,98.184077,Shan,Linkhe,Keng Tawng,,Thanlwin,Nam Teng,Nam Teng,Nam Teng,MoEE,Myanmar,Sole Investment ,51.0,51.0,0.0,,,2019.0
